UNK	0.37405086	0.24496691	-0.03378394	-0.17601997	-0.5344858	0.48548925	0.2908918	-0.056108363	-0.39641595	-0.06926659
t3	-0.17250288	0.038279403	-0.19233578	0.045251586	0.11903404	-0.01432597	-0.17351316	0.14716059	0.34656274	0.07470915
t1	0.15312758	0.043313924	0.061859567	0.16375166	-0.027499001	0.19252737	0.040254552	0.046126764	-0.12622572	-0.021431249
t2	-0.047661718	0.26790136	0.048941705	0.15499145	0.20686401	0.22694004	0.088664904	-0.2357162	0.15398566	0.06247228
t36	-0.13263047	-0.029406672	0.048097994	-0.2449598	0.4944339	-0.45851642	0.039191782	0.24386184	-0.09611309	-0.18395343
t4	-0.21159075	-0.09160369	0.042972375	-0.06677124	-0.16927871	0.13539812	-0.18993019	0.1806395	0.26572835	0.3199016
t26	-0.114021674	-0.10175593	0.05586899	0.029212283	0.026292654	0.06795811	-0.043453153	0.4444373	-0.22838674	0.009956007
t23	0.10736651	0.004397335	0.23469013	0.010141351	-0.2518746	-0.387674	0.024826983	-0.044452436	0.13007076	0.08748098
t29	-0.33944342	-0.22409202	-0.2575844	0.19718346	-0.12959011	-0.006875304	-0.05209347	-0.04641988	0.24984613	0.10374765
tCO	0.24646562	0.6901136	0.478651	0.124300525	0.12983751	0.2744497	-0.1707084	-0.19555466	0.162158	0.038306475
t13	0.23322985	0.24326429	-0.20671022	0.08542505	-0.033625513	-0.0005533953	-0.24596033	-0.07670724	0.18564947	0.14968944
t21	0.09251131	-0.014492542	0.44549108	-0.056565247	0.42380786	-0.17915878	-0.20563568	-0.1059826	0.4362143	-0.1638777
t31	-0.026115082	-0.081727125	0.1261736	-0.22565627	0.07420603	-0.10407975	-0.011544276	-0.042038746	-0.18482547	0.36463952
t27	-0.2844457	0.29675448	-0.288988	-0.16746445	-0.08541919	-0.22929399	0.5177598	0.0672729	0.2496713	-0.092984855
t74	0.11093424	0.34498617	0.2698263	-0.14420019	-0.01546165	0.04883602	-0.47781208	-0.16939002	0.20860888	-0.027504502
t30	0.12552913	0.15223464	-0.1630796	-0.06262848	0.07117025	0.29004088	0.17069401	-0.21948774	0.41553116	0.11183594
t28	0.17965175	0.031231595	0.2333804	0.43797895	-0.34138858	-0.33800256	0.26146272	-0.3733915	0.42347535	0.049481515
t38	-0.06066395	-0.09432806	0.116394125	0.09824063	-0.18280713	-0.16212766	-0.016269127	0.31186566	-0.2495372	0.23581952
t45	0.66855556	0.21527682	0.099907994	0.40578908	0.3163919	0.14442235	0.4244851	-0.19878854	0.58475643	-0.04326866
t24	0.23745185	-0.20989843	0.23047344	0.05554754	-0.23496623	-0.15255101	-0.43609515	0.22658074	-0.09651558	-0.084665805
t20	-0.34769383	0.31989557	-0.36742002	0.032036453	-0.53190994	0.06788199	0.42623428	-0.0729362	0.15696903	0.0021232753
t7	0.20893401	0.15320696	0.28371814	-0.029921016	0.15770109	-0.32393607	-0.33641994	-0.40794384	-0.04360326	-0.34942782
t8	0.26423714	-0.46708408	-0.10786788	-0.05113066	-0.104533896	0.08193691	0.1257905	0.06885502	0.2102126	0.024150386
t39	-0.088393435	-0.28607166	-0.10914961	-0.11440293	-0.15890348	-0.053119343	0.14836432	0.13584135	-0.057550356	-0.1715318
t163	-0.065275066	0.1567285	0.22490394	-0.34634972	0.6295216	-0.4132435	-0.08026166	-0.15445882	0.13940342	-0.34210902
t18	-0.2899791	-0.38090104	0.44861564	0.22427903	0.65319914	0.03176233	-0.13355228	-0.019115709	-0.07207374	-0.14442703
t81	0.4633732	-0.6099704	0.0596359	0.2902909	0.06492148	-0.1110216	-0.27376145	-0.18721351	0.21140249	0.32026553
t68	0.34110472	0.16656062	0.37772804	0.70742077	0.11331104	-0.5329558	0.16008021	-0.32318172	0.20063774	0.045847375
t35	0.14883995	0.08739831	0.10755235	0.4505757	-0.21790676	-0.8066377	0.13871096	0.11292991	-0.11602717	0.6674704
t96	-0.607651	0.03326326	0.33838984	-0.17086574	0.43782917	0.5307226	-0.1991005	0.35411936	0.020448297	-0.23642504
